"","Sp","Species_name","Families","Families1","Fossil_point","Abbreviations","Shape_point","Epoch","Regression_point","Collection_number","Body_mass_g","Body","Brain_volume_cm3","Brain_volume_mm3","OB","predicted","residuals"
"Chinchilla_lanigera",29,"Chinchilla_lanigera","Chinchilloidea","Other","Other","Ch_la","Other","Extant","Extant","AMNH 180038",442.7,5.64610952197885,5.60295,5602.95,2.08706409791904,2.1361047068041,-0.0490406088850612
"Lagidium_peruanum",30,"Lagidium_peruanum","Chinchilloidea","Other","Other","La_pe","Other","Extant","Extant","1043",1240,6.09342168516223,12.6183,12618.3,2.46107813521686,2.40136632155767,0.059711813659189
"Dinomys_branickii",31,"Dinomys_branickii","Chinchilloidea","Other","Other","Di_br","Other","Extant","Extant","MCN-D 072",12625,7.1012313867907,42.7852,42785.2,3.03091531062505,2.99900987078679,0.0319054398382623
"Incamys_bolivianus",32,"Incamys_bolivianus","Chinchilloidea","Caviomorpha","Fossil","In_bo","In_bo","Oligocene","Fossil","YPM VPPU 21945",787.1062757,5.89603337509603,3.93658,3936.58,2.23935955028959,2.2843126257918,-0.0449530755022112
"Ischyromys_typus",34,"Ischyromys_typus","Ischyromyidae_Sciuroidea","Other","Other","Is_ty","Other","Ischyromyidae_Sciuroidea","Ischyromyidae_Sciuroidea","AMNH F: AM 144639; AMNH 12252; ROMV 1007",1199.076667,6.07884695206513,6.263176667,6263.176667,2.3206087332042,2.39272332556036,-0.0721145923561664
"Mesogaulus_paniensis",35,"Mesogaulus_paniensis","Ischyromyidae_Sciuroidea","Other","Other","Me_pa","Other","Ischyromyidae_Sciuroidea","Ischyromyidae_Sciuroidea","AMNH F:AM 65511",266.48,5.42566461968312,3.46799,3467.99,2.05685151365123,2.00537816824767,0.0514733454035614
"Protosciurus_cf_rachelae",36,"Protosciurus_cf_rachelae","Ischyromyidae_Sciuroidea","Other","Other","Pr_ra","Other","Ischyromyidae_Sciuroidea","Ischyromyidae_Sciuroidea","YPM 14737; YPM 14736",349.62,5.54359626847379,5.102885,5102.885,2.32541713548087,2.075313086552,0.250104048928873
"Cedromus_wilsoni",37,"Cedromus_wilsoni","Ischyromyidae_Sciuroidea","Other","Other","Ce_wi","Other","Ischyromyidae_Sciuroidea","Ischyromyidae_Sciuroidea","USNM 256584",393.49,5.59493369984628,3.60987,3609.87,2.02925793581996,2.10575681481159,-0.0764988789916359
"Prosciurus_relictus",38,"Prosciurus_relictus","Ischyromyidae_Sciuroidea","Other","Other","Pr_re","Other","Ischyromyidae_Sciuroidea","Ischyromyidae_Sciuroidea","USNM 437793",143.57,5.15706370038262,0.957445,957.445,1.53143420795611,1.84609451928341,-0.314660311327304
"Miopetaurista_crusafonti",39,"Miopetaurista_crusafonti","Ischyromyidae_Sciuroidea","Other","Other","Mi_cr","Other","Ischyromyidae_Sciuroidea","Ischyromyidae_Sciuroidea","SNSB 1978 V 1",1228.9,6.08951654422482,10.82214,10822.14,2.11770206120931,2.39905052494814,-0.281348463738829
