"","Sp","Species_name","Families","Families1","Fossil_point","Abbreviations","Shape_point","Epoch","Regression_point","Collection_number","Body_mass_g","Body_mass_mg","Brain_volume_cm3","Brain_volume_mm3","Olfactory_bulbs_mm3","Petrosal_lobules_mm3","Brain_surface_mm2","Neocortex_surface_mm2","PEQ","predicted","residuals"
"Capromys_pilorides",25,"Capromys_pilorides","Octodontoidea","Other","Other","Ca_pi","Other","Extant","Extant","UMZC E.3371",5263,5263000,13.7319,13731.9,399.692,6.2,4005.92,1425,0.21225399182266,1.28375938352888,-0.146028751432197
"Ctenomys_pearsoni",26,"Ctenomys_pearsoni","Octodontoidea","Other","Other","Ct_pe","Other","Extant","Extant","AMNH 206517",224.96,224960,2.42158,2421.58,65.0467,19.08,1173.36,438.099,0.244553499063871,0.46860955278868,-0.0845107316941061
"Prospaniomys_priscus",27,"Prospaniomys_priscus","Octodontoidea","Caviomorpha","Fossil","Pr_pr","Pr_pr","Miocene","Fossil","MACN-PV CH1913",368.6760783,368676.0783,2.4258,2425.8,63.6,36,1397.6,242.4,0.18255666312832,0.596341916452427,-0.211486924735109
"Lagostomus_maximus",28,"Lagostomus_maximus","Chinchilloidea","Other","Other","La_ma","Other","Extant","Extant","AMNH 41523",4859.68,4859680,13.3266,13326.6,352.436,17.6,3899.19,1565.02,0.21600310950721,1.26314397733469,-0.138424614836381
"Chinchilla_lanigera",29,"Chinchilla_lanigera","Chinchilloidea","Other","Other","Ch_la","Other","Extant","Extant","AMNH 180038",442.7,442700,5.60295,5602.95,122.198,103.27,2158.88,638,0.378135914806391,0.643653432826986,0.104763314070177
"Lagidium_peruanum",30,"Lagidium_peruanum","Chinchilloidea","Other","Other","La_pe","Other","Extant","Extant","1043",1240,1240000,12.6183,12618.3,289.12,262.9,3631.73,1482.95,0.461223949840892,0.909973613518195,0.191027235022982
"Dinomys_branickii",31,"Dinomys_branickii","Chinchilloidea","Other","Other","Di_br","Other","Extant","Extant","MCN-D 072",12625,12625000,42.7852,42785.2,1073.78,NA,7527.5,3226.38,0.392804123158984,1.5100021482442,0.121291418201328
"Incamys_bolivianus",32,"Incamys_bolivianus","Chinchilloidea","Caviomorpha","Fossil","In_bo","In_bo","Oligocene","Fossil","YPM VPPU 21945",787.1062757,787106.2757,3.93658,3936.58,173.524,63.64,2218.03,650.12,0.188603999915799,0.792452797564858,-0.197333715874075
"Neoepiblema_acreensis",33,"Neoepiblema_acreensis","Chinchilloidea","Caviomorpha","Fossil","Ne_ac","Ne_ac","Miocene","Fossil","UFAC 4515",126955.3877,126955387.7,49.5388,49538.8,NA,NA,10596.9,NA,0.115082287605931,2.1068216195922,-0.411876137319985
"Ischyromys_typus",34,"Ischyromys_typus","Ischyromyidae_Sciuroidea","Other","Other","Is_ty","Other","Ischyromyidae_Sciuroidea","Ischyromyidae_Sciuroidea","AMNH F: AM 144639; AMNH 12252; ROMV 1007",1199.076667,1199076.667,6.263176667,6263.176667,209.2226667,103.85,2835.36,606.7233333,0.233551763756396,0.901296126359512,-0.104501464231713
"Mesogaulus_paniensis",35,"Mesogaulus_paniensis","Ischyromyidae_Sciuroidea","Other","Other","Me_pa","Other","Ischyromyidae_Sciuroidea","Ischyromyidae_Sciuroidea","AMNH F:AM 65511",266.48,266480,3.46799,3467.99,113.986,46.27,1632.28,437.507,0.316633775184513,0.512405210569759,0.0276726259417147
"Protosciurus_cf_rachelae",36,"Protosciurus_cf_rachelae","Ischyromyidae_Sciuroidea","Other","Other","Pr_ra","Other","Ischyromyidae_Sciuroidea","Ischyromyidae_Sciuroidea","YPM 14737; YPM 14736",349.62,349620,5.102885,5102.885,211.552,158.925,2245.795,701.39,0.396352115008023,0.582619214570066,0.125196566494247
"Cedromus_wilsoni",37,"Cedromus_wilsoni","Ischyromyidae_Sciuroidea","Other","Other","Ce_wi","Other","Ischyromyidae_Sciuroidea","Ischyromyidae_Sciuroidea","USNM 256584",393.49,393490,3.60987,3609.87,106.969,113.96,2048.7,645.15,0.261331488943892,0.613184433056508,-0.0556928708459292
"Prosciurus_relictus",38,"Prosciurus_relictus","Ischyromyidae_Sciuroidea","Other","Other","Pr_re","Other","Ischyromyidae_Sciuroidea","Ischyromyidae_Sciuroidea","USNM 437793",143.57,143570,0.957445,957.445,33.9965,32.079,845.9,251.159,0.126331755466709,0.352485916507088,-0.371372081002258
"Miopetaurista_crusafonti",39,"Miopetaurista_crusafonti","Ischyromyidae_Sciuroidea","Other","Other","Mi_cr","Other","Ischyromyidae_Sciuroidea","Ischyromyidae_Sciuroidea","SNSB 1978 V 1",1228.9,1228900,10.82214,10822.14,131.13,207.42,2310.86,697.6,0.39769413670712,0.907648575377772,0.126664572481052
